Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81760362015125LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150505080630_20150505084129.01,LT8BPF20150505080236_20150505084222.01,L8CPF20150401_20150630.04,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/05,2015:125:08:21:33.2476920,2015:125:08:22:05.0176880,9,.93,63.89301456,129.65613852,5.222,4.713,303,4,Y,LPGS_2.6.2,34°36'38.81"N,33°04'12.90"E,35°39'44.78"N,32°17'25.62"E,35°16'20.60"N,34°20'01.57"E,33°32'42.58"N,33°49'34.46"E,33°56'04.88"N,31°49'30.07"E,34.61078,33.07025,35.66244,32.29045,35.27239,34.33377,33.54516,33.82624,33.93469,31.82502,LC81760362015125LGN00,LC81760362015125LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015125LGN00
LC81760362015109LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150419075647_20150419084142.02,LT8BPF20150419075253_20150419084236.02,L8CPF20150401_20150630.04,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/04/19,2015:109:08:21:46.7173110,2015:109:08:22:18.4873080,9,3.21,59.69353637,135.23757812,4.826,4.283,300,4,Y,LPGS_2.6.2,34°36'38.84"N,33°03'44.24"E,35°39'44.93"N,32°16'56.42"E,35°16'20.24"N,34°19'33.74"E,33°32'42.50"N,33°49'06.42"E,33°56'05.28"N,31°49'00.66"E,34.61079,33.06229,35.66248,32.28234,35.27229,34.32604,33.54514,33.81845,33.9348,31.81685,LC81760362015109LGN00,LC81760362015109LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015109LGN00
LC81760362015093LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150403075647_20150403085253.01,LT8BPF20150403075253_20150403085346.02,L8CPF20150401_20150630.04,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/04/03,2015:093:08:21:46.5765490,2015:093:08:22:18.3465450,9,17.13,54.28143751,139.80489299,5.584,5.119,158,4,Y,LPGS_2.6.2,34°36'39.49"N,33°06'31.21"E,35°39'45.58"N,32°19'42.96"E,35°16'20.39"N,34°22'21.32"E,33°32'43.04"N,33°51'53.75"E,33°56'06.29"N,31°51'46.98"E,34.61097,33.10867,35.66266,32.3286,35.27233,34.37259,33.54529,33.86493,33.93508,31.86305,LC81760362015093LGN00,LC81760362015093LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015093LGN00
LC81760362015077LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150318080720_20150318085442.03,LT8BPF20150318080326_20150318085535.08,L8CPF20150302_20150331.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/03/18,2015:077:08:21:59.2820700,2015:077:08:22:31.0520670,9,11.71,48.31344258,143.36772534,4.436,4.158,345,4,Y,LPGS_2.6.2,34°36'39.35"N,33°05'51.32"E,35°39'45.58"N,32°19'03.07"E,35°16'19.92"N,34°21'42.05"E,33°32'42.79"N,33°51'13.97"E,33°56'06.54"N,31°51'06.55"E,34.61093,33.09759,35.66266,32.31752,35.2722,34.36168,33.54522,33.85388,33.93515,31.85182,LC81760362015077LGN00,LC81760362015077LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015077LGN00
LC81760362015045LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150214081219_20150214085655.02,LT8BPF20150201000000_20150228235959.02,L8CPF20150101_20150302.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/02/14,2015:045:08:22:12.2335120,2015:045:08:22:44.0035080,9,26.07,36.96181259,149.23880541,4.573,4.512,122,4,Y,LPGS_2.6.2,34°36'38.12"N,33°06'49.07"E,35°39'44.64"N,32°20'01.82"E,35°16'18.55"N,34°22'39.50"E,33°32'41.32"N,33°52'10.67"E,33°56'05.46"N,31°52'04.51"E,34.61059,33.11363,35.6624,32.33384,35.27182,34.37764,33.54481,33.86963,33.93485,31.86792,LC81760362015045LGN00,LC81760362015045LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015045LGN00
LC81760362015029LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150129081253_20150129085728.02,LT8BPF20150124174026_20150226200654.01,L8CPF20150101_20150302.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/01/29,2015:029:08:22:21.4605060,2015:029:08:22:53.2305020,9,7.67,32.64176767,152.06884674,4.827,3.929,300,4,Y,LPGS_2.6.2,34°36'38.45"N,33°06'10.62"E,35°39'45.14"N,32°19'23.63"E,35°16'18.70"N,34°22'01.27"E,33°32'41.50"N,33°51'31.93"E,33°56'06.04"N,31°51'25.85"E,34.61068,33.10295,35.66254,32.32323,35.27186,34.36702,33.54486,33.85887,33.93501,31.85718,LC81760362015029LGN00,LC81760362015029LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015029LGN00
LC81760362015013LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150113081345_20150113090133.01,LT8BPF20150106000000_20150131235959.03,L8CPF20150101_20150302.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2015/01/13,2015:013:08:22:26.5593760,2015:013:08:22:58.3293720,9,84.58,29.81999007,154.85223575,0,0,-1,4,Y,LPGS_2.6.2,34°36'39.49"N,33°06'14.08"E,35°39'46.30"N,32°19'27.30"E,35°16'19.60"N,34°22'04.73"E,33°32'42.43"N,33°51'35.14"E,33°56'07.19"N,31°51'29.23"E,34.61097,33.10391,35.66286,32.32425,35.27211,34.36798,33.54512,33.85976,33.93533,31.85812,LC81760362015013LGN00,LC81760362015013LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015013LGN00
LC81760362014362LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20141228081435_20141228090135.02,LT8BPF20141222180001_20150106000000.02,L8CPF20141219_20141231.10,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/28,2014:362:08:22:28.0464460,2014:362:08:22:59.8164430,9,13.18,28.76777815,157.35090173,5.222,4.249,277,4,Y,LPGS_2.6.2,34°36'38.09"N,33°06'56.81"E,35°39'44.96"N,32°20'10.39"E,35°16'18.01"N,34°22'47.57"E,33°32'40.88"N,33°52'17.44"E,33°56'05.86"N,31°52'11.82"E,34.61058,33.11578,35.66249,32.33622,35.27167,34.37988,33.54469,33.87151,33.93496,31.86995,LC81760362014362LGN00,LC81760362014362LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014362LGN00
LC81760362014346LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20141212081411_20141212090135.02,LT8BPF20141209203000_20141212235959.04,L8CPF20141209_20141219.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/12/12,2014:346:08:22:28.5558690,2014:346:08:23:00.3258650,9,61.69,29.55925632,159.23621849,4.52,4.102,60,4,Y,LPGS_2.6.2,34°36'38.66"N,33°07'39.50"E,35°39'45.58"N,32°20'52.76"E,35°16'18.23"N,34°23'30.77"E,33°32'41.35"N,33°53'00.42"E,33°56'06.72"N,31°52'53.98"E,34.61074,33.12764,35.66266,32.34799,35.27173,34.39188,33.54482,33.88345,33.9352,31.88166,LC81760362014346LGN00,LC81760362014346LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014346LGN00
LC81760362014330LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20141126081354_20141126085630.01,LT8BPF20141126081000_20141126085724.01,L8CPF20141001_20141208.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/11/26,2014:330:08:22:35.6186000,2014:330:08:23:07.3885960,9,41.83,32.04566534,160.11158434,5.877,5.07,190,4,Y,LPGS_2.6.2,34°36'37.80"N,33°06'29.52"E,35°39'44.78"N,32°19'42.71"E,35°16'17.00"N,34°22'21.36"E,33°32'40.42"N,33°51'50.72"E,33°56'06.22"N,31°51'43.63"E,34.6105,33.1082,35.66244,32.32853,35.27139,34.3726,33.54456,33.86409,33.93506,31.86212,LC81760362014330LGN00,LC81760362014330LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014330LGN00
LC81760362014314LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20141110081421_20141110085809.02,LT8BPF20141110081027_20141110085902.02,L8CPF20141001_20141208.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/11/10,2014:314:08:22:38.2507320,2014:314:08:23:10.0207280,9,.42,35.90071251,159.6523153,5.064,4.809,328,4,Y,LPGS_2.6.2,34°36'39.10"N,33°06'13.93"E,35°39'46.37"N,32°19'27.73"E,35°16'18.55"N,34°22'05.09"E,33°32'41.64"N,33°51'34.09"E,33°56'07.48"N,31°51'28.26"E,34.61086,33.10387,35.66288,32.32437,35.27182,34.36808,33.5449,33.85947,33.93541,31.85785,LC81760362014314LGN00,LC81760362014314LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014314LGN00
LC81760362014298LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20141025081132_20141025085743.02,LT8BPF20141025080738_20141025085837.02,L8CPF20141001_20141208.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/10/25,2014:298:08:22:36.7872480,2014:298:08:23:08.5572440,9,10.92,40.67422149,157.59819395,5.508,4.526,137,4,Y,LPGS_2.6.2,34°36'39.35"N,33°06'47.81"E,35°39'46.66"N,32°20'02.11"E,35°16'18.55"N,34°22'39.25"E,33°32'41.71"N,33°52'07.72"E,33°56'07.87"N,31°52'02.10"E,34.61093,33.11328,35.66296,32.33392,35.27182,34.37757,33.54492,33.86881,33.93552,31.86725,LC81760362014298LGN00,LC81760362014298LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014298LGN00
LC81760362014282LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20141009081132_20141009085719.02,LT8BPF20141009080738_20141009085812.02,L8CPF20141001_20141208.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/10/09,2014:282:08:22:36.0201250,2014:282:08:23:07.7901210,9,3.12,45.87775349,153.81828426,5.452,4.553,306,4,Y,LPGS_2.6.2,34°36'39.28"N,33°06'55.19"E,35°39'46.73"N,32°20'09.56"E,35°16'18.23"N,34°22'46.96"E,33°32'41.46"N,33°52'15.20"E,33°56'07.98"N,31°52'09.34"E,34.61091,33.11533,35.66298,32.33599,35.27173,34.37971,33.54485,33.87089,33.93555,31.86926,LC81760362014282LGN00,LC81760362014282LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014282LGN00
LC81760362014266LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140923073917_20140923085512.01,LT8BPF20140923071712_20140923085605.01,L8CPF20140701_20140930.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/09/23,2014:266:08:22:29.4325250,2014:266:08:23:01.2025210,9,1.66,51.04010212,148.31570448,4.961,4.45,275,4,Y,LPGS_2.6.2,34°36'38.30"N,33°08'16.37"E,35°39'45.94"N,32°21'31.75"E,35°16'17.36"N,34°24'07.67"E,33°32'40.31"N,33°53'35.45"E,33°56'06.86"N,31°53'31.02"E,34.61064,33.13788,35.66276,32.35882,35.27149,34.40213,33.54453,33.89318,33.93524,31.89195,LC81760362014266LGN00,LC81760362014266LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014266LGN00
LC81760362014250LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140907075733_20140907085315.03,LT8BPF20140907075339_20140907085408.02,L8CPF20140701_20140930.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/09/07,2014:250:08:22:32.3091720,2014:250:08:23:04.0791680,9,8.23,55.7676888,141.31261086,5.452,5.184,191,4,Y,LPGS_2.6.2,34°36'38.38"N,33°06'59.22"E,35°39'46.08"N,32°20'14.64"E,35°16'17.18"N,34°22'50.77"E,33°32'40.27"N,33°52'18.19"E,33°56'07.15"N,31°52'13.58"E,34.61066,33.11645,35.6628,32.3374,35.27144,34.38077,33.54452,33.87172,33.93532,31.87044,LC81760362014250LGN00,LC81760362014250LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014250LGN00
LC81760362014234LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140822075729_20140822084224.02,LT8BPF20140822075336_20140822084318.02,L8CPF20140701_20140930.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/08/22,2014:234:08:22:28.8489600,2014:234:08:23:00.6189570,9,3.18,59.79886578,133.3673308,4.986,4.995,310,4,Y,LPGS_2.6.2,34°36'37.94"N,33°07'02.35"E,35°39'45.83"N,32°20'17.59"E,35°16'16.61"N,34°22'54.16"E,33°32'39.73"N,33°52'21.40"E,33°56'06.94"N,31°52'16.39"E,34.61054,33.11732,35.66273,32.33822,35.27128,34.38171,33.54437,33.87261,33.93526,31.87122,LC81760362014234LGN00,LC81760362014234LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014234LGN00
LC81760362014218LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140806030533_20140806084221.01,LT8BPF20140806044032_20140806084314.01,L8CPF20140701_20140930.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/08/06,2014:218:08:22:25.1774410,2014:218:08:22:56.9474370,9,10.48,63.02286213,125.43084391,5.089,5.385,246,4,Y,LPGS_2.6.2,34°36'38.05"N,33°06'54.32"E,35°39'45.79"N,32°20'09.24"E,35°16'16.21"N,34°22'46.78"E,33°32'39.80"N,33°52'13.91"E,33°56'07.37"N,31°52'07.86"E,34.61057,33.11509,35.66272,32.3359,35.27117,34.37966,33.54439,33.87053,33.93538,31.86885,LC81760362014218LGN00,LC81760362014218LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014218LGN00
LC81760362014202LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140721075717_20140721084212.02,LT8BPF20140721075323_20140721084305.02,L8CPF20140701_20140930.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/07/21,2014:202:08:22:16.6642770,2014:202:08:22:48.4342730,9,10.25,65.47924991,118.80849911,5.429,5.286,278,4,Y,LPGS_2.6.2,34°36'38.27"N,33°07'48.32"E,35°39'46.19"N,32°21'03.60"E,35°16'16.57"N,34°23'40.60"E,33°32'39.91"N,33°53'07.51"E,33°56'07.55"N,31°53'02.04"E,34.61063,33.13009,35.66283,32.351,35.27127,34.39461,33.54442,33.88542,33.93543,31.8839,LC81760362014202LGN00,LC81760362014202LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014202LGN00
LC81760362014186LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140705075713_20140705084209.01,LT8BPF20140705075319_20140705084302.01,L8CPF20140701_20140930.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/07/05,2014:186:08:22:12.9991330,2014:186:08:22:44.7691300,9,5.68,67.21793226,114.84496363,5.339,5.247,210,4,Y,LPGS_2.6.2,34°36'39.17"N,33°07'17.98"E,35°39'47.20"N,32°20'33.11"E,35°16'17.51"N,34°23'10.18"E,33°32'40.99"N,33°52'37.06"E,33°56'08.70"N,31°52'31.44"E,34.61088,33.12166,35.66311,32.34253,35.27153,34.38616,33.54472,33.87696,33.93575,31.8754,LC81760362014186LGN00,LC81760362014186LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014186LGN00
LC81760362014170LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140619075707_20140619084203.02,LT8BPF20140619075313_20140619084256.02,L8CPF20140401_20140630.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/06/19,2014:170:08:22:06.9924720,2014:170:08:22:38.7624680,9,.72,68.1864687,114.57542038,5.26,5.109,314,4,Y,LPGS_2.6.2,34°36'38.95"N,33°07'15.49"E,35°39'46.80"N,32°20'31.49"E,35°16'17.22"N,34°23'07.37"E,33°32'40.52"N,33°52'34.03"E,33°56'08.05"N,31°52'29.64"E,34.61082,33.12097,35.663,32.34208,35.27145,34.38538,33.54459,33.87612,33.93557,31.8749,LC81760362014170LGN00,LC81760362014170LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014170LGN00
LC81760362014154LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140603075702_20140603084157.01,LT8BPF20140603070757_20140603084250.01,L8CPF20140401_20140630.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/06/03,2014:154:08:22:01.7317010,2014:154:08:22:33.5016970,9,2.94,68.0938527,118.08651413,5.4,5.16,290,4,Y,LPGS_2.6.2,34°36'38.30"N,33°06'54.50"E,35°39'46.33"N,32°20'10.21"E,35°16'16.68"N,34°22'46.38"E,33°32'39.95"N,33°52'13.04"E,33°56'07.58"N,31°52'08.33"E,34.61064,33.11514,35.66287,32.33617,35.2713,34.37955,33.54443,33.87029,33.93544,31.86898,LC81760362014154LGN00,LC81760362014154LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014154LGN00
LC81760362014138LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140518081049_20140518084152.01,LT8BPF20140518080602_20140518084245.01,L8CPF20140401_20140630.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/05/18,2014:138:08:21:55.4547680,2014:138:08:22:27.2247640,9,4.39,66.57115097,124.13224149,4.972,4.981,252,4,Y,LPGS_2.6.2,34°36'38.48"N,33°06'43.06"E,35°39'46.69"N,32°19'58.55"E,35°16'16.82"N,34°22'35.18"E,33°32'40.16"N,33°52'01.78"E,33°56'08.02"N,31°51'56.63"E,34.61069,33.11196,35.66297,32.33293,35.27134,34.37644,33.54449,33.86716,33.93556,31.86573,LC81760362014138LGN00,LC81760362014138LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014138LGN00
LC81760362014122LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140502075707_20140502084203.01,LT8BPF20140502075313_20140502084256.01,L8CPF20140401_20140630.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/05/02,2014:122:08:22:06.8794940,2014:122:08:22:38.6494900,9,13.56,63.45645592,130.71063036,5.728,5.577,124,4,Y,LPGS_2.6.2,34°36'39.06"N,33°05'11.18"E,35°39'44.39"N,32°18'21.17"E,35°16'20.96"N,34°21'00.54"E,33°32'43.51"N,33°50'35.20"E,33°56'05.06"N,31°50'27.42"E,34.61085,33.08644,35.66233,32.30588,35.27249,34.35015,33.54542,33.84311,33.93474,31.84095,LC81760362014122LGN00,LC81760362014122LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014122LGN00
LC81760362014106LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140416075724_20140416084216.01,LT8BPF20140416075330_20140416084309.01,L8CPF20140401_20140630.03,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/04/16,2014:106:08:22:20.5230870,2014:106:08:22:52.2930830,9,4.05,58.92092477,136.37546141,5.099,4.696,301,4,Y,LPGS_2.6.2,34°36'38.45"N,33°05'50.57"E,35°39'43.88"N,32°19'01.34"E,35°16'20.46"N,34°21'39.67"E,33°32'42.65"N,33°51'14.08"E,33°56'04.24"N,31°51'07.34"E,34.61068,33.09738,35.66219,32.31704,35.27235,34.36102,33.54518,33.85391,33.93451,31.85204,LC81760362014106LGN00,LC81760362014106LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014106LGN00
LC81760362014090LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140331075738_20140331085345.01,LT8BPF20140331075344_20140331085438.01,L8CPF20140101_20140331.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/03/31,2014:090:08:22:37.6220850,2014:090:08:23:09.3920810,9,4.33,53.37530789,140.7432288,4.819,4.228,329,4,Y,LPGS_2.6.2,34°36'39.24"N,33°05'29.08"E,35°39'44.75"N,32°18'40.21"E,35°16'21.11"N,34°21'18.29"E,33°32'43.30"N,33°50'52.37"E,33°56'05.06"N,31°50'45.85"E,34.6109,33.09141,35.66243,32.31117,35.27253,34.35508,33.54536,33.84788,33.93474,31.84607,LC81760362014090LGN00,LC81760362014090LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014090LGN00
LC81760362014074LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140315081150_20140315085601.01,LT8BPF20140315080756_20140315085654.02,L8CPF20140101_20140331.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/03/15,2014:074:08:22:54.5143650,2014:074:08:23:26.2843610,9,1.14,47.37089431,144.17980487,4.661,3.994,342,4,Y,LPGS_2.6.2,34°36'38.59"N,33°04'57.79"E,35°39'44.35"N,32°18'10.19"E,35°16'20.78"N,34°20'46.07"E,33°32'42.43"N,33°50'19.72"E,33°56'04.16"N,31°50'15.29"E,34.61072,33.08272,35.66232,32.30283,35.27244,34.34613,33.54512,33.83881,33.93449,31.83758,LC81760362014074LGN00,LC81760362014074LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014074LGN00
LC81760362014058LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140227081201_20140227085811.01,LT8BPF20140227080807_20140227085904.01,L8CPF20140101_20140331.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/02/27,2014:058:08:23:04.8922320,2014:058:08:23:36.6622280,9,18.26,41.47383304,147.15442983,4.69,3.339,166,4,Y,LPGS_2.6.2,34°36'38.09"N,33°05'49.56"E,35°39'44.06"N,32°19'03.40"E,35°16'20.60"N,34°21'36.94"E,33°32'41.75"N,33°51'09.90"E,33°56'03.34"N,31°51'07.88"E,34.61058,33.0971,35.66224,32.31761,35.27239,34.36026,33.54493,33.85275,33.93426,31.85219,LC81760362014058LGN00,LC81760362014058LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014058LGN00
LC81760362014042LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140211081859_20140211085848.01,LT8BPF20140211081505_20140211085941.01,L8CPF20140101_20140331.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/02/11,2014:042:08:23:17.5542990,2014:042:08:23:49.3242950,9,4.25,36.23009094,149.99171708,4.411,3.75,324,4,Y,LPGS_2.6.2,34°36'38.34"N,33°05'48.41"E,35°39'44.42"N,32°19'01.85"E,35°16'20.32"N,34°21'36.61"E,33°32'41.89"N,33°51'09.11"E,33°56'04.09"N,31°51'05.98"E,34.61065,33.09678,35.66234,32.31718,35.27231,34.36017,33.54497,33.85253,33.93447,31.85166,LC81760362014042LGN00,LC81760362014042LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014042LGN00
LC81760362014010LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20140110081721_20140110090245.01,LT8BPF20140110081327_20140110090338.01,L8CPF20140101_20140331.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2014/01/10,2014:010:08:23:39.5735480,2014:010:08:24:11.3435440,9,17.93,29.60576111,155.59218212,4.663,3.948,260,4,Y,LPGS_2.6.2,34°36'38.38"N,33°05'39.84"E,35°39'44.39"N,32°18'50.18"E,35°16'18.26"N,34°21'31.61"E,33°32'41.86"N,33°51'03.78"E,33°56'06.07"N,31°50'54.02"E,34.61066,33.0944,35.66233,32.31394,35.27174,34.35878,33.54496,33.85105,33.93502,31.84834,LC81760362014010LGN00,LC81760362014010LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362014010LGN00
LC81760362013359LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20131225081645_20131225090257.01,LT8BPF20131225081251_20131225090350.02,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/25,2013:359:08:23:50.8465880,2013:359:08:24:22.6165840,9,56.11,28.86960774,158.03686845,5.185,4.79,104,4,Y,LPGS_2.6.2,34°36'39.35"N,33°05'03.95"E,35°39'45.47"N,32°18'13.97"E,35°16'18.95"N,34°20'56.26"E,33°32'42.76"N,33°50'28.10"E,33°56'07.40"N,31°50'17.41"E,34.61093,33.08443,35.66263,32.30388,35.27193,34.34896,33.54521,33.84114,33.93539,31.83817,LC81760362013359LGN00,LC81760362013359LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013359LGN00
LC81760362013343LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20131209081543_20131209090307.01,LT8BPF20131209081149_20131209090400.01,L8CPF20131001_20131231.05,L8RLUT20130211_20150302v10.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2013/12/09,2013:343:08:24:00.2725920,2013:343:08:24:32.0425870,9,15.53,29.96595456,159.79694157,5.309,5.265,223,4,Y,LPGS_2.6.2,34°36'39.24"N,33°04'42.38"E,35°39'45.58"N,32°17'53.77"E,35°16'19.24"N,34°20'33.76"E,33°32'42.50"N,33°50'05.28"E,33°56'06.97"N,31°49'56.71"E,34.6109,33.07844,35.66266,32.29827,35.27201,34.34271,33.54514,33.8348,33.93527,31.83242,LC81760362013343LGN00,LC81760362013343LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362013343LGN00
