browseAvailable,browseURL,sceneID,sensor,acquisitionDate,dateUpdated,path,row,upperLeftCornerLatitude,upperLeftCornerLongitude,upperRightCornerLatitude,upperRightCornerLongitude,lowerLeftCornerLatitude,lowerLeftCornerLongitude,lowerRightCornerLatitude,lowerRightCornerLongitude,sceneCenterLatitude,sceneCenterLongitude,cloudCover,cloudCoverFull,FULL_UL_QUAD_CCA,FULL_UR_QUAD_CCA,FULL_LL_QUAD_CCA,FULL_LR_QUAD_CCA,dayOrNight,flightPath,sunElevation,sunAzimuth,receivingStation,sceneStartTime,sceneStopTime,imageQuality1,imageQuality2,gainBand1,gainBand2,gainBand3,gainBand4,gainBand5,gainBand6H,gainBand6L,gainBand7,gainBand8,gainChangeBand1,gainChangeBand2,gainChangeBand3,gainChangeBand4,gainChangeBand5,gainChangeBand6H,gainChangeBand6L,gainChangeBand7,gainChangeBand8,DATA_TYPE_L1,cartURL,DATE_ACQUIRED_GAP_FILL,DATUM,ELEVATION_SOURCE,ELLIPSOID,EPHEMERIS_TYPE,FALSE_EASTING,FALSE_NORTHING,GAP_FILL,GROUND_CONTROL_POINTS_MODEL,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,GRID_CELL_SIZE_PANCHROMATIC,GRID_CELL_SIZE_REFLECTIVE,GRID_CELL_SIZE_THERMAL,MAP_PROJECTION_L1,ORIENTATION,OUTPUT_FORMAT,PANCHROMATIC_LINES,PANCHROMATIC_SAMPLES,L1_AVAILABLE,REFLECTIVE_LINES,REFLECTIVE_SAMPLES,RESAMPLING_OPTION,SCAN_GAP_INTERPOLATION,THERMAL_LINES,THERMAL_SAMPLES,TRUE_SCALE_LAT,UTM_ZONE,VERTICAL_LON_FROM_POLE,PROCESSING_SOFTWARE_VERSION,CPF_NAME,GROUND_CONTROL_POINTS_VERSION,DATE_L1_GENERATED
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015117SG100.jpg,LE71760362015117SG100,LANDSAT_ETM_SLC_OFF,2015-04-27,2015-04-28,176,36,35.55404,32.3192,35.25287,34.39163,33.94662,31.88523,33.65113,33.91854,34.60563,33.12849,1,  18.28,   2.93,  52.47,   0.33,  17.38,DAY,DAY,61.93410873,132.76449585,SG1,2015:117:08:21:43.6013125,2015:117:08:22:10.3553750,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015117SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,88,5.018,3.354,3.732,15,30,30,UTM,NORTH_UP,GEOTIFF,14281,16221,Y,7141,8111,CUBIC_CONVOLUTION,2,7141,8111,,36,,LPGS_12.6.1,L7CPF20150401_20150630.03,,2015-04-27 19:21:04
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015101SG100.jpg,LE71760362015101SG100,LANDSAT_ETM_SLC_OFF,2015-04-11,2015-04-12,176,36,35.55235,32.31319,35.251,34.3858,33.94513,31.87984,33.64965,33.91339,34.60519,33.12337,2,  27.00,  22.29,  68.91,   2.01,  14.80,DAY,DAY,56.95611572,137.817276,SG1,2015:101:08:21:38.1989375,2015:101:08:22:04.9529999,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015101SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,40,5.577,4.548,3.227,15,30,30,UTM,NORTH_UP,GEOTIFF,14261,16241,Y,7131,8121,CUBIC_CONVOLUTION,2,7131,8121,,36,,LPGS_12.6.1,L7CPF20150401_20150630.02,,2015-04-11 19:56:41
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015085SG100.jpg,LE71760362015085SG100,LANDSAT_ETM_SLC_OFF,2015-03-26,2015-03-27,176,36,35.55439,32.31909,35.2531,34.39182,33.94682,31.88557,33.65116,33.91917,34.60517,33.12925,0,   0.38,   0.79,   0.70,   0.03,   0.00,DAY,DAY,51.15263367,141.69932556,SG1,2015:085:08:21:29.7106875,2015:085:08:21:56.4647500,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015085SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,164,4.076,2.925,2.839,15,30,30,UTM,NORTH_UP,GEOTIFF,14281,16221,Y,7141,8111,CUBIC_CONVOLUTION,2,7141,8111,,36,,LPGS_12.6.0,L7CPF20150101_20150331.04,,2015-03-27 04:13:53
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015069ASN00.jpg,LE71760362015069ASN00,LANDSAT_ETM_SLC_OFF,2015-03-10,2015-03-11,176,36,35.55503,32.32706,35.25358,34.39957,33.94811,31.89323,33.6525,33.92669,34.60487,33.13654,0,   0.68,   1.22,   0.74,   0.62,   0.15,DAY,DAY,45.081604,144.83465576,ASN,2015:069:08:21:19.6855624,2015:069:08:21:46.4396250,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015069ASN00,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,181,4.331,3.157,2.965,15,30,30,UTM,NORTH_UP,GEOTIFF,14281,16241,Y,7141,8121,CUBIC_CONVOLUTION,2,7141,8121,,36,,LPGS_12.5.0,L7CPF20150101_20150331.03,,2015-03-10 20:42:13
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015037ASN00.jpg,LE71760362015037ASN00,LANDSAT_ETM_SLC_OFF,2015-02-06,2015-02-07,176,36,35.55458,32.28793,35.25378,34.36029,33.94689,31.85438,33.65189,33.88766,34.60647,33.09767,2,  29.67,  22.95,   9.22,  33.09,  53.41,DAY,DAY,34.36039734,150.39941406,ASN,2015:037:08:21:08.4271249,2015:037:08:21:35.1811250,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015037ASN00,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,150,4.23,2.958,3.024,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16221,Y,7111,8111,CUBIC_CONVOLUTION,2,7111,8111,,36,,LPGS_12.5.0,L7CPF20150101_20150331.02,,2015-02-06 20:47:31
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015021SG101.jpg,LE71760362015021SG101,LANDSAT_ETM_SLC_OFF,2015-01-21,2015-01-22,176,36,35.55463,32.31798,35.25367,34.39021,33.94743,31.88527,33.65232,33.91844,34.60595,33.12812,1,  20.30,  18.39,  15.97,  33.15,  13.68,DAY,DAY,30.73946762,153.18788147,SG1,2015:021:08:20:59.6985000,2015:021:08:21:26.4525624,9,9,H,H,H,H,H,H,L,H,L,HL,HL,HL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015021SG101,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,122,3.692,2.024,3.088,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16221,Y,7111,8111,CUBIC_CONVOLUTION,2,7111,8111,,36,,LPGS_12.5.0,L7CPF20150101_20150331.02,,2015-01-21 22:04:30
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015005SG100.jpg,LE71760362015005SG100,LANDSAT_ETM_SLC_OFF,2015-01-05,2015-01-06,176,36,35.55286,32.30733,35.25183,34.3795,33.94593,31.87449,33.65068,33.90757,34.60553,33.11764,7,  77.74,  74.67,  93.43,  95.14,  47.72,DAY,DAY,28.77529335,155.8243103,SG1,2015:005:08:20:59.4494999,2015:005:08:21:26.2035624,9,9,H,H,H,H,H,H,L,H,L,HL,HL,HL,HH,HH,LL,HH,HH,LL,L1G,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015005SG100,,WGS84,,WGS84,DEFINITIVE,,,,,,,,15,30,30,UTM,NORTH_UP,GEOTIFF,14261,16221,Y,7131,8111,CUBIC_CONVOLUTION,2,7131,8111,,36,,LPGS_12.5.0,L7CPF20150101_20150331.01,,2015-01-05 17:40:48
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014354SG100.jpg,LE71760362014354SG100,LANDSAT_ETM_SLC_OFF,2014-12-20,2014-12-21,176,36,35.55302,32.2955,35.2518,34.36829,33.94541,31.8625,33.64999,33.89619,34.60567,33.1057,2,  27.23,  60.02,  28.96,   9.57,  10.38,DAY,DAY,28.64364624,158.01603699,SG1,2014:354:08:20:58.4420000,2014:354:08:21:25.1960624,9,9,H,H,H,H,H,H,L,H,L,HL,HL,HL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014354SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,106,4.221,2.509,3.394,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16221,Y,7111,8111,CUBIC_CONVOLUTION,2,7111,8111,,36,,LPGS_12.5.0,L7CPF20141001_20141231.06,,2014-12-20 17:28:46
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014338SG100.jpg,LE71760362014338SG100,LANDSAT_ETM_SLC_OFF,2014-12-04,2014-12-05,176,36,35.55405,32.31178,35.25273,34.38479,33.94729,31.8787,33.65171,33.91261,34.60545,33.12222,3,  36.18,  37.61,  41.25,  31.76,  34.08,DAY,DAY,30.30643845,159.39030457,SG1,2014:338:08:20:49.7908749,2014:338:08:21:16.5448750,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014338SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,92,3.858,2.178,3.185,15,30,30,UTM,NORTH_UP,GEOTIFF,14281,16221,Y,7141,8111,CUBIC_CONVOLUTION,2,7141,8111,,36,,LPGS_12.5.0,L7CPF20141001_20141231.04,,2014-12-04 15:59:42
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014322SG100.jpg,LE71760362014322SG100,LANDSAT_ETM_SLC_OFF,2014-11-18,2014-11-19,176,36,35.55451,32.32597,35.25316,34.39881,33.94741,31.89269,33.65182,33.92644,34.60503,33.13566,0,   0.57,   0.35,   0.33,   0.10,   1.49,DAY,DAY,33.51716995,159.57676697,SG1,2014:322:08:20:40.6029374,2014:322:08:21:07.3569999,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014322SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,163,3.918,2.467,3.044,15,30,30,UTM,NORTH_UP,GEOTIFF,14281,16221,Y,7141,8111,CUBIC_CONVOLUTION,2,7141,8111,,36,,LPGS_12.5.0,L7CPF20141001_20141231.04,,2014-11-18 17:03:57
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014306SG100.jpg,LE71760362014306SG100,LANDSAT_ETM_SLC_OFF,2014-11-02,2014-11-03,176,36,35.5546,32.30964,35.25309,34.38274,33.94765,31.87647,33.65199,33.9105,34.60489,33.12008,8,  85.44,  80.48,  62.20,  99.09,  99.98,DAY,DAY,37.87663269,158.28030396,SG1,2014:306:08:20:37.5488125,2014:306:08:21:04.3028124,9,9,L,L,L,H,L,H,L,L,L,LL,LL,LL,HH,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014306SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,20,3.597,2.285,2.778,15,30,30,UTM,NORTH_UP,GEOTIFF,14201,16221,Y,7101,8111,CUBIC_CONVOLUTION,2,7101,8111,,36,,LPGS_12.5.0,L7CPF20141001_20141231.03,,2014-11-02 16:23:15
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014258SG100.jpg,LE71760362014258SG100,LANDSAT_ETM_SLC_OFF,2014-09-15,2014-09-16,176,36,35.55117,32.3333,35.24961,34.40568,33.94354,31.89876,33.64772,33.93204,34.60452,33.14315,0,   0.38,   0.58,   0.36,   0.09,   0.47,DAY,DAY,53.06043243,144.24505615,SG1,2014:258:08:20:06.4680625,2014:258:08:20:33.2221250,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014258SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,89,4.449,3.087,3.204,15,30,30,UTM,NORTH_UP,GEOTIFF,14201,16221,Y,7101,8111,CUBIC_CONVOLUTION,2,7101,8111,,36,,LPGS_12.5.0,L7CPF20140701_20140930.05,,2014-09-17 04:13:36
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014242SG100.jpg,LE71760362014242SG100,LANDSAT_ETM_SLC_OFF,2014-08-30,2014-08-31,176,36,35.55616,32.31109,35.2553,34.38367,33.94901,31.87771,33.6539,33.91117,34.60666,33.12042,0,   0.51,   1.21,   0.02,   0.19,   0.63,DAY,DAY,57.42033005,136.67494202,SG1,2014:242:08:20:04.2256250,2014:242:08:20:30.9796874,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014242SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,89,4.527,3.162,3.239,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16201,Y,7111,8101,CUBIC_CONVOLUTION,2,7111,8101,,36,,LPGS_12.4.1,L7CPF20140701_20140930.04,,2014-08-30 21:04:05
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014226SG100.jpg,LE71760362014226SG100,LANDSAT_ETM_SLC_OFF,2014-08-14,2014-08-15,176,36,35.55396,32.29822,35.25299,34.37119,33.94669,31.86483,33.65149,33.89869,34.60626,33.10844,0,   0.00,   0.00,   0.00,   0.00,   0.00,DAY,DAY,61.02859116,128.66748047,SG1,2014:226:08:20:05.7393749,2014:226:08:20:32.4934375,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014226SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,82,4.688,3.337,3.293,15,30,30,UTM,NORTH_UP,GEOTIFF,14261,16241,Y,7131,8121,CUBIC_CONVOLUTION,2,7131,8121,,36,,LPGS_12.4.1,L7CPF20140701_20140930.04,,2014-08-14 16:00:35
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014210SG100.jpg,LE71760362014210SG100,LANDSAT_ETM_SLC_OFF,2014-07-29,2015-01-05,176,36,35.55554,32.29678,35.25443,34.37021,33.94894,31.86371,33.65355,33.89803,34.60579,33.10682,0,   0.21,   0.18,   0.01,   0.05,   0.58,DAY,DAY,63.84335709,121.31466675,SG1,2014:210:08:20:03.8826249,2014:210:08:20:30.6366875,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014210SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,67,4.808,3.581,3.209,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16201,Y,7111,8101,CUBIC_CONVOLUTION,2,7111,8101,,36,,LPGS_12.5.0,L7CPF20140701_20140930.10,,2015-01-05 11:51:41
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014194SG100.jpg,LE71760362014194SG100,LANDSAT_ETM_SLC_OFF,2014-07-13,2015-01-05,176,36,35.55618,32.31003,35.2551,34.38303,33.94875,31.87704,33.65346,33.91097,34.60596,33.12011,0,   2.73,   7.07,   0.02,   3.35,   0.48,DAY,DAY,65.92830658,115.95194244,SG1,2014:194:08:19:57.7086249,2014:194:08:20:24.4626250,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014194SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,56,7.789,7.089,3.228,15,30,30,UTM,NORTH_UP,GEOTIFF,14281,16221,Y,7141,8111,CUBIC_CONVOLUTION,2,7141,8111,,36,,LPGS_12.5.0,L7CPF20140701_20140930.10,,2015-01-05 12:20:53
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014178SG100.jpg,LE71760362014178SG100,LANDSAT_ETM_SLC_OFF,2014-06-27,2015-01-05,176,36,35.55229,32.30561,35.25124,34.37804,33.94497,31.87241,33.64967,33.90577,34.60561,33.11591,0,   0.00,   0.00,   0.00,   0.00,   0.00,DAY,DAY,67.29896545,113.7840271,SG1,2014:178:08:19:55.1190625,2014:178:08:20:21.8730624,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014178SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,65,6.613,5.918,2.951,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16221,Y,7111,8111,CUBIC_CONVOLUTION,2,7111,8111,,36,,LPGS_12.5.0,L7CPF20140401_20140630.07,,2015-01-05 12:19:00
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014082SG100.jpg,LE71760362014082SG100,LANDSAT_ETM_SLC_OFF,2014-03-23,2015-01-05,176,36,35.55546,32.31271,35.25414,34.38557,33.94809,31.87876,33.65248,33.91251,34.6053,33.12195,5,  56.09,  49.52,  66.71,  61.24,  46.90,DAY,DAY,49.83839035,141.56645203,SG1,2014:082:08:19:21.5851875,2014:082:08:19:48.3391875,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014082SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,117,4.447,3.165,3.124,15,30,30,UTM,NORTH_UP,GEOTIFF,14261,16221,Y,7131,8111,CUBIC_CONVOLUTION,2,7131,8111,,36,,LPGS_12.5.0,L7CPF20140101_20140331.08,,2015-01-05 12:29:51
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014066SG100.jpg,LE71760362014066SG100,LANDSAT_ETM_SLC_OFF,2014-03-07,2015-01-05,176,36,35.55236,32.30904,35.25093,34.38157,33.94531,31.87481,33.64968,33.90828,34.60487,33.11874,2,  21.63,  40.50,  19.59,  26.45,   0.00,DAY,DAY,43.79896164,144.68795776,SG1,2014:066:08:19:14.6311875,2014:066:08:19:41.3851875,9,9,L,L,L,H,L,H,L,L,L,LL,LL,LL,HH,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014066SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,192,4.178,2.796,3.104,15,30,30,UTM,NORTH_UP,GEOTIFF,14261,16221,Y,7131,8111,CUBIC_CONVOLUTION,2,7131,8111,,36,,LPGS_12.5.0,L7CPF20140101_20140331.08,,2015-01-05 12:33:23
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014050SG101.jpg,LE71760362014050SG101,LANDSAT_ETM_SLC_OFF,2014-02-19,2014-10-03,176,36,35.55524,32.30004,35.25374,34.3724,33.94773,31.86572,33.65199,33.89901,34.60462,33.10857,0,   0.56,   0.90,   1.21,   0.04,   0.07,DAY,DAY,38.14908218,147.534729,SG1,2014:050:08:19:08.1046249,2014:050:08:19:34.8585624,9,9,L,L,L,H,L,H,L,L,L,LL,LL,LL,HH,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014050SG101,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,205,3.598,2.162,2.876,15,30,30,UTM,NORTH_UP,GEOTIFF,14261,16221,Y,7131,8111,CUBIC_CONVOLUTION,2,7131,8111,,36,,LPGS_12.5.0,L7CPF20140101_20140331.08,,2014-10-03 14:07:52
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014034SG100.jpg,LE71760362014034SG100,LANDSAT_ETM_SLC_OFF,2014-02-03,2015-01-05,176,36,35.55507,32.19447,35.2544,34.26638,33.94786,31.76127,33.65294,33.79411,34.60666,33.00425,1,  18.81,  28.30,  32.27,   3.76,  10.93,DAY,DAY,33.41257858,150.31858826,SG1,2014:034:08:19:20.3093750,2014:034:08:19:47.0633749,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014034SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,135,3.788,2.187,3.093,15,30,30,UTM,NORTH_UP,GEOTIFF,14261,16221,Y,7131,8111,CUBIC_CONVOLUTION,2,7131,8111,,36,,LPGS_12.5.0,L7CPF20140101_20140331.08,,2015-01-05 11:29:00
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014018SG100.jpg,LE71760362014018SG100,LANDSAT_ETM_SLC_OFF,2014-01-18,2014-10-02,176,36,35.55484,32.25392,35.25398,34.32591,33.94715,31.82073,33.65205,33.85363,34.60622,33.06357,1,  12.71,  24.40,  19.58,   6.10,   0.78,DAY,DAY,30.07637596,153.12414551,SG1,2014:018:08:19:05.1260625,2014:018:08:19:31.8800624,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014018SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,145,3.952,2.587,2.987,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16201,Y,7111,8101,CUBIC_CONVOLUTION,2,7111,8101,,36,,LPGS_12.5.0,L7CPF20140101_20140331.08,,2014-10-03 04:13:46
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2014/LE71760362014002SG100.jpg,LE71760362014002SG100,LANDSAT_ETM_SLC_OFF,2014-01-02,2015-01-05,176,36,35.55476,32.29512,35.25383,34.36735,33.94724,31.86196,33.65208,33.89507,34.60561,33.10461,5,  57.77,  76.04,  34.25,  72.08,  48.71,DAY,DAY,28.44092751,155.72207642,SG1,2014:002:08:18:53.1678750,2014:002:08:19:19.9218750,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362014002SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,26,6.22,3.583,5.084,15,30,30,UTM,NORTH_UP,GEOTIFF,14201,16181,Y,7101,8091,CUBIC_CONVOLUTION,2,7101,8091,,36,,LPGS_12.5.0,L7CPF20140101_20140331.08,,2015-01-05 11:31:50
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2013/LE71760362013351SG100.jpg,LE71760362013351SG100,LANDSAT_ETM_SLC_OFF,2013-12-17,2015-01-05,176,36,35.55231,32.31313,35.25119,34.38598,33.94517,31.87922,33.64982,33.91295,34.6059,33.12346,4,  43.76,  20.54,  40.28,  52.58,  61.64,DAY,DAY,28.64335442,157.79922485,SG1,2013:351:08:18:45.6107499,2013:351:08:19:12.3647500,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362013351SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,155,3.889,2.324,3.118,15,30,30,UTM,NORTH_UP,GEOTIFF,14281,16201,Y,7141,8101,CUBIC_CONVOLUTION,2,7141,8101,,36,,LPGS_12.5.0,L7CPF20131001_20131231.08,,2015-01-05 11:43:11
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2013/LE71760362013335SG100.jpg,LE71760362013335SG100,LANDSAT_ETM_SLC_OFF,2013-12-01,2015-01-05,176,36,35.55201,32.29505,35.25066,34.36886,33.94488,31.86205,33.64928,33.89674,34.60528,33.10606,7,  76.89,  56.19,  81.93,  77.67,  91.76,DAY,DAY,30.60505486,158.9753418,SG1,2013:335:08:18:45.3953750,2013:335:08:19:12.1493749,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362013335SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,72,5.023,3.247,3.832,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16221,Y,7111,8111,CUBIC_CONVOLUTION,2,7111,8111,,36,,LPGS_12.5.0,L7CPF20131001_20131231.08,,2015-01-05 12:44:18
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2013/LE71760362013319SG100.jpg,LE71760362013319SG100,LANDSAT_ETM_SLC_OFF,2013-11-15,2015-01-05,176,36,35.5521,32.3068,35.25064,34.38035,33.94559,31.874,33.64992,33.90847,34.60517,33.11804,5,  53.50,  62.93,  50.51,  91.79,   8.77,DAY,DAY,34.04626083,158.89567566,SG1,2013:319:08:18:37.5071874,2013:319:08:19:04.2611875,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362013319SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,62,4.035,2.261,3.342,15,30,30,UTM,NORTH_UP,GEOTIFF,14201,16181,Y,7101,8091,CUBIC_CONVOLUTION,2,7101,8091,,36,,LPGS_12.5.0,L7CPF20131001_20131231.08,,2015-01-05 12:41:25
